ticker,method,order_fraction,participation_limit,cost_scenario,sessions,mean_completion,mean_shortfall_bps,mean_vwap_slippage_bps
AAPL,POV,0.01,0.05,base,20,1.0,-2.8653864231658503,20.181207974953207
AAPL,POV,0.01,0.05,high,20,1.0,1.3305244768382747,24.38664134111995
AAPL,POV,0.01,0.05,low,20,1.0,-4.963341873168011,18.07849129186939
AAPL,POV,0.01,0.1,base,20,1.0,1.7264409606785993,24.91030207773287
AAPL,POV,0.01,0.1,high,20,1.0,6.783569016479274,29.978831916048886
AAPL,POV,0.01,0.1,low,20,1.0,-0.8021230672229768,22.376037158573727
AAPL,POV,0.01,0.2,base,20,1.0,5.043343086127483,28.305255460967793
AAPL,POV,0.01,0.2,high,20,1.0,11.216196686587613,34.492580053965824
AAPL,POV,0.01,0.2,low,20,1.0,1.9569162858953728,25.211593164466642
AAPL,POV,0.03,0.05,base,20,1.0,-11.911431101223346,10.780359526905205
AAPL,POV,0.03,0.05,high,20,1.0,-7.683622364162032,15.017775880488248
AAPL,POV,0.03,0.05,low,20,1.0,-14.025335469757408,8.661651350110155
AAPL,POV,0.03,0.1,base,20,1.0,-6.719132619899982,16.225657819548598
AAPL,POV,0.03,0.1,high,20,1.0,-1.5813992789152989,21.37512132502323
AAPL,POV,0.03,0.1,low,20,1.0,-9.287999290393506,13.650926066810731
AAPL,POV,0.03,0.2,base,20,1.0,1.1638887005722651,24.272123411961665
AAPL,POV,0.03,0.2,high,20,1.0,7.527820115135701,30.650386992282506
AAPL,POV,0.03,0.2,low,20,1.0,-2.0180770067107554,21.082991621799827
AAPL,POV,0.05,0.05,base,20,0.9882363413000821,-11.618390727340621,10.664820066940527
AAPL,POV,0.05,0.05,high,20,0.9882363413000821,-7.439777182905354,14.902831691650075
AAPL,POV,0.05,0.05,low,20,0.9882363413000821,-13.707697499561837,8.54581425458184
AAPL,POV,0.05,0.1,base,20,1.0,-10.325775742428092,12.431621210525934
AAPL,POV,0.05,0.1,high,20,1.0,-5.174740262457995,17.59439509131
AAPL,POV,0.05,0.1,low,20,1.0,-12.901293482415761,9.850234270131486
